names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_max
Cd79b,-8.644351,-2.2287188,5.411179789384699e-18,2.2900112868676046e-15,-7.964558,-2.4549472,1.6581554551920412e-15,5.012367061694799e-13,-16.60891,-6.5922055,-2.9754567,4.333404144312249e-11,1.3099261670521028e-08,-5.827548,-2.6641316,5.62476919068866e-09,2.380402321499441e-06,-12.419754,5.411179789384699e-18
Syk,-6.287011,-1.8791646,3.236363036425324e-10,3.424072092537993e-08,-4.4167233,-1.4084117,1.0020832085123979e-05,0.001767006724343528,-10.703734,-4.9209237,-2.4061978,8.613679068861869e-07,7.594393712379881e-05,-3.6091063,-1.6915522,0.00030725357738796015,0.054179047479410304,-8.53003,3.236363036425324e-10
Spn,,,,,,,,,,-4.9841895,-1.7854645,6.222200989002148e-07,5.724424909881976e-05,-0.92220455,-0.0864976,0.3564218862631934,1.0,-5.906394,6.222200989002148e-07
Cst3,-4.590888,-0.9078474,4.4136403194924105e-06,0.000155654381934099,0.17760794,-0.06456357,0.8590308868869904,1.0,-4.41328,-4.159093,-1.3746319,3.195136361283064e-05,0.0014085226125989507,-1.179122,-0.47858903,0.23834963222829775,1.0,-5.338215,4.4136403194924105e-06
Stat4,-4.5255256,-0.9432119,6.02455917734322e-06,0.00020561237450416537,-1.3504381,-0.24636643,0.17687548819145948,1.0,-5.8759637,-4.383161,-1.3593382,1.1696966782192486e-05,0.0006689400462464675,-1.905726,-0.5575294,0.05668577617929298,1.0,-6.288887,6.02455917734322e-06
Ptms,-3.8902223,-0.7619053,0.00010015246885972151,0.0021624757561956197,0.8102011,-0.01707466,0.417824605972545,1.0,-3.0800211,-4.240812,-1.2563545,2.2271267367451266e-05,0.0010472444833228196,-0.8369742,-0.33999747,0.40260706129241997,1.0,-5.077786,2.2271267367451266e-05
Plec,-4.183363,-0.81106424,2.8722824415632272e-05,0.0007597187057934736,-1.9339188,-0.49293587,0.05312310905110475,1.0,-6.117282,-3.1283815,-1.0789756,0.0017577193136829325,0.03381212788866441,-2.2613633,-0.9552742,0.023736769198610442,1.0,-5.3897448,2.8722824415632272e-05
Lyst,-4.1416035,-0.9260352,3.448860009599145e-05,0.0008792515397966014,-0.042471465,-0.13791367,0.9661228593305744,1.0,-4.184075,-3.3287244,-1.4387062,0.0008724470829854651,0.020742674467384765,-1.0264431,-0.35420695,0.30468276894675617,1.0,-4.3551674,3.448860009599145e-05
Stap1,-4.0658426,-1.1517992,4.785923486518499e-05,0.0011252237886081272,-3.0994902,-1.1689998,0.0019385395762856687,0.1414465428765681,-7.165333,-3.3854003,-1.6182371,0.0007107452155356896,0.017864071897809693,-2.7261446,-1.6584119,0.006407892111525966,0.6480744661411029,-6.1115446,4.785923486518499e-05
Rab8b,-3.8010917,-0.45899805,0.00014406004589505257,0.0028757646897540684,-0.23675911,-0.041680768,0.812843676122967,1.0,-4.037851,-3.8012438,-0.9844702,0.00014397160324440214,0.005163456143477203,-1.1895458,-0.31991532,0.23422497036715906,1.0,-4.9907894,0.00014397160324440214
