names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_min
Inpp4b,1.7173091,0.3343774,0.08592271476469428,1.0,6.8310266,0.70655656,8.430899809880523e-12,2.2299729997133985e-09,8.548336,1.9695578,0.5254056,0.04888907658247744,1.0,5.6824384,0.9568152,1.3278775389881563e-08,4.013984103569913e-06,7.651996,8.430899809880523e-12
Il7r,2.0377266,0.92139304,0.04157728131268001,1.0,3.7793345,0.678499,0.00015724799836041537,0.007562199193878157,5.8170614,1.3549489,1.022939,0.1754338411247035,1.0,3.8986843,1.1657493,9.671680041936633e-05,0.017054395807281596,5.253633,9.671680041936633e-05
Kbtbd11,,,,,,,,,,1.2789575,0.27928036,0.20091200981941992,1.0,3.799928,0.52359164,0.00014473821820278944,0.02275965267236838,5.0788856,0.00014473821820278944
Dusp2,1.0289351,0.5869374,0.3035101703532268,1.0,3.6037204,0.9315873,0.0003136945702925795,0.013773060919784655,4.6326556,1.0790772,0.8729775,0.28055329463325196,1.0,2.9230485,1.1171668,0.003466226164977982,0.26194766303905037,4.0021257,0.0003136945702925795
Dtx3l,0.46310136,0.37469319,0.6432917065968079,1.0,3.3944554,0.69167006,0.0006876522791255175,0.02552758285315079,3.8575568,0.56302685,0.4879589,0.5734165945637831,1.0,2.3531382,0.64435244,0.018615715381175374,0.8111288781771236,2.916165,0.0006876522791255175
Igfbp4,0.34331408,0.251144,0.7313621779938979,1.0,2.711295,0.38924813,0.0067020983046380414,0.17086313268209755,3.054609,0.51121455,0.3084172,0.6092008164731035,1.0,2.6558976,0.62520385,0.007909765079906787,0.5071837245176595,3.167112,0.0067020983046380414
Atp1a1,-0.37346235,0.099959,0.708804361577368,1.0,2.6410491,0.27246156,0.00826497093607947,0.18604977128451233,2.2675867,,,,,,,,,,0.00826497093607947
Sun2,,,,,,,,,,0.21484828,0.012664284,0.8298856049775086,1.0,2.5350394,0.26678765,0.01124346963867649,0.5947795438859863,2.7498877,0.01124346963867649
Fnbp4,0.37896827,0.59401286,0.7047114278993711,1.0,2.3971872,1.1655787,0.016521477564761605,0.29626649599182675,2.7761555,0.3923917,0.93843704,0.6947687992320786,1.0,1.787964,1.6061544,0.07378181238963619,1.0,2.1803558,0.016521477564761605
Utrn,,,,,,,,,,0.34265193,0.2589171,0.7318603307375713,1.0,2.3947105,0.7899877,0.016633489433082585,0.7791604102071243,2.7373624,0.016633489433082585
Ctsw,0.90256757,0.59264636,0.3667554360219648,1.0,2.385988,0.82050663,0.01703331085775651,0.30035404812510647,3.2885556,0.9296276,0.9002483,0.3525639431063795,1.0,2.2649064,1.2236271,0.023518420753536145,0.9389618549902355,3.194534,0.01703331085775651
Paxbp1,0.085811734,0.068433225,0.931616075730775,1.0,1.7472042,0.33394504,0.08060192738320535,0.7447758879600983,1.8330159,0.8630776,1.0786994,0.38809481726862904,1.0,2.204916,1.265635,0.02745999654035507,1.0,3.0679936,0.02745999654035507
Med20,-0.24722913,0.016038893,0.8047309088944439,1.0,2.0579994,0.91755956,0.03959019491444966,0.5138786060632697,1.8107703,-0.16050296,0.160695,0.8724848954040529,1.0,1.1038612,0.8511456,0.26965333564018446,1.0,0.94335824,0.03959019491444966
Atp5e,0.5737569,0.5162361,0.5661323294771883,1.0,1.9638301,0.6381288,0.04954979190429677,0.5760843937884174,2.537587,1.119606,1.2541099,0.2628817117730352,1.0,2.0466952,1.1334144,0.04068802037804683,1.0,3.1663013,0.04068802037804683
Aif1,0.15785868,0.3822468,0.8745681572091311,1.0,1.9704552,0.9373256,0.04878623334854787,0.5760843937884174,2.1283138,0.2496201,0.76611,0.8028811622701342,1.0,1.4713472,1.2108665,0.14119723897574157,1.0,1.7209673,0.04878623334854787
Vgll4,0.48398358,0.5914226,0.628397528704109,1.0,1.9113036,0.73527586,0.05596557506968332,0.6140358487013343,2.3952873,0.40920192,0.612472,0.682391475235634,1.0,1.3836417,0.89388907,0.1664681821043762,1.0,1.7928436,0.05596557506968332
Impdh1,,,,,,,,,,0.3905495,0.36486897,0.6961302520515251,1.0,1.861812,0.757674,0.06262958855268544,1.0,2.2523615,0.06262958855268544
Emb,0.09480921,0.16057546,0.9244663694692354,1.0,1.8100362,0.35317937,0.0702901695050774,0.6820705702017255,1.9048454,0.15060104,0.2916166,0.8802904335165505,1.0,0.9928261,0.268453,0.32079471146773897,1.0,1.1434271,0.0702901695050774
Ppp3cc,0.03800426,0.13165188,0.9696842860316852,1.0,1.280249,0.065196924,0.20045757525805286,1.0,1.3182533,0.48289052,0.55638844,0.6291734727046756,1.0,1.7437605,0.5093457,0.08120086808866893,1.0,2.226651,0.08120086808866893
Gata3,0.1827696,0.45581532,0.8549788020750954,1.0,1.7235961,1.4890072,0.08478077365440836,0.7594082301436599,1.9063656,0.13540278,0.73212856,0.8922934275352046,1.0,1.4432814,1.8220574,0.14894119862623914,1.0,1.5786842,0.08478077365440836
Arl4c,,,,,,,,,,0.43269017,0.2860459,0.6652398713675896,1.0,1.6706141,0.14533961,0.094797928824845,1.0,2.1033044,0.094797928824845
Tgfb1,,,,,,,,,,0.37765402,0.17181048,0.7056876382830071,1.0,1.6428992,0.3643358,0.10040380083341578,1.0,2.020553,0.10040380083341578
Bcl2l11,0.061975144,0.13381316,0.9505826263607834,1.0,1.5297896,0.6891679,0.12606883806239594,0.9426207114488686,1.5917647,0.19043894,0.40598303,0.8489651849260598,1.0,1.3722401,1.1082515,0.16998872988406144,1.0,1.562679,0.12606883806239594
Tiam1,,,,,,,,,,0.44005904,0.39011097,0.659894354426407,1.0,1.5090606,0.5234095,0.13128330220647097,1.0,1.9491197,0.13128330220647097
Pea15a,,,,,,,,,,0.24040902,0.34080037,0.8100131904095135,1.0,1.4562619,0.8845864,0.14532023976099462,1.0,1.6966709,0.14532023976099462
Furin,0.32337192,0.6644789,0.7464135844291812,1.0,1.4299943,1.0289115,0.15271864274602268,1.0,1.7533662,0.39607614,0.96796286,0.6920488488876926,1.0,0.8891582,0.9188797,0.3739180586252131,1.0,1.2852343,0.15271864274602268
Tes,,,,,,,,,,-0.00046055368,0.24719097,0.9996325313519074,1.0,1.4285469,0.400716,0.15313449267555637,1.0,1.4280864,0.15313449267555637
Icam1,,,,,,,,,,0.38824674,0.31992322,0.6978334455795412,1.0,1.4122337,0.31199488,0.1578811536446375,1.0,1.8004805,0.1578811536446375
Pik3ip1,0.024776628,0.14191765,0.9802331331458439,1.0,1.3989726,1.3329943,0.16182118128904555,1.0,1.4237492,0.52963674,1.59974,0.5963638312165835,1.0,1.2468212,1.9894584,0.21246307302430645,1.0,1.7764579,0.16182118128904555
Strip2,0.9063949,0.7108166,0.3647268868971023,1.0,1.3746285,0.5691551,0.16924663929475925,1.0,2.2810235,0.59227204,0.81811154,0.5536684511209121,1.0,1.2531359,0.76989335,0.2101562260528801,1.0,1.845408,0.16924663929475925
Rab11fip1,,,,,,,,,,0.13171835,0.40018925,0.8952070715429425,1.0,1.3499628,1.394151,0.17702790619425557,1.0,1.4816812,0.17702790619425557
Trbv19,,,,,,,,,,0.8923227,0.8902199,0.3722199735088193,1.0,1.3420694,0.7361594,0.17957351526549814,1.0,2.2343922,0.17957351526549814
Cxcl16,0.6079339,0.5618243,0.5432313422097479,1.0,0.84415776,0.105676755,0.3985812429928285,1.0,1.4520917,0.75715023,0.9145321,0.44895986372976515,1.0,1.333825,0.5549567,0.18226120907496413,1.0,2.0909753,0.18226120907496413
Crlf2,0.5434743,0.7695276,0.5868032553023129,1.0,1.3035941,0.7693308,0.19237200079887173,1.0,1.8470684,0.8253122,1.3261324,0.4091943825835288,1.0,1.0412395,0.8134217,0.29776439761943885,1.0,1.8665516,0.19237200079887173
Fbxl5,,,,,,,,,,0.27863497,0.56076974,0.7805249736004174,1.0,1.2922527,1.256716,0.19626967414416707,1.0,1.5708876,0.19626967414416707
Selenom,1.2848259,1.2109071,0.19885310309031634,1.0,0.3515966,0.35587358,0.7251408308474846,1.0,1.6364225,1.2110258,1.7677271,0.22588549006181602,1.0,0.49834257,0.7274904,0.6182426097065713,1.0,1.7093685,0.19885310309031634
Golga5,0.47968626,0.5322852,0.6314504925070163,1.0,1.2685764,0.34567958,0.2045921707185513,1.0,1.7482626,0.47759417,0.7914639,0.6329390927898362,1.0,1.2813772,0.925035,0.20006122958648975,1.0,1.7589713,0.20006122958648975
Il15ra,1.1900839,1.2784619,0.23401341414756283,1.0,1.0639385,0.5518315,0.2873565582497041,1.0,2.2540224,1.244416,1.6502006,0.21334649326574828,1.0,0.7591787,0.7579538,0.44774567743242044,1.0,2.0035946,0.21334649326574828
Shoc2,0.28160754,0.45291847,0.7782444634792693,1.0,1.0388057,0.33387518,0.2988951165949404,1.0,1.3204132,0.9694655,1.4381115,0.33231299999182895,1.0,1.2380506,1.0607907,0.21569728806196664,1.0,2.2075162,0.21569728806196664
Sgf29,,,,,,,,,,0.16165434,0.4617589,0.8715780649046888,1.0,1.2366474,1.2037388,0.2162180357286685,1.0,1.3983017,0.2162180357286685
Bcl2l12,0.10152374,0.2373971,0.9191347085492815,1.0,1.2298256,1.5142518,0.2187624080699616,1.0,1.3313494,0.46585003,1.5409399,0.6413228475567301,1.0,1.1743765,2.3215907,0.2402442745853025,1.0,1.6402265,0.2187624080699616
Mif,,,,,,,,,,-0.018652424,0.5412666,0.9851183821489504,1.0,1.2227899,0.77038836,0.22140907028667944,1.0,1.2041374,0.22140907028667944
Gcn1,,,,,,,,,,0.2166905,0.37546447,0.828449551413467,1.0,1.1678863,0.8376413,0.242852654336154,1.0,1.3845768,0.242852654336154
Pygo2,0.4590055,0.3464386,0.6462302117093937,1.0,1.1472238,0.32465765,0.2512891242505064,1.0,1.6062293,0.89117134,0.855792,0.37283725328573303,1.0,1.0021229,0.6106459,0.31628425114929204,1.0,1.8932942,0.2512891242505064
Rbm39,,,,,,,,,,0.26320642,0.14917725,0.7923914818227132,1.0,1.1435041,0.24273358,0.25282934625646525,1.0,1.4067106,0.25282934625646525
Nefh,0.13563357,0.04314248,0.8921109611557435,1.0,1.1371286,1.2694757,0.25548451234799907,1.0,1.2727622,0.21692078,1.0094433,0.828270084921936,1.0,0.9710751,1.9537033,0.33151086575203104,1.0,1.1879959,0.25548451234799907
Csrp1,,,,,,,,,,0.2127758,0.3297463,0.8315018445376304,1.0,1.1156138,0.5876678,0.26458749406579674,1.0,1.3283896,0.26458749406579674
Hcst,,,,,,,,,,0.2802469,0.23585191,0.7792880813181143,1.0,1.1005285,0.7931052,0.27110194979681534,1.0,1.3807755,0.27110194979681534
Trdc,0.4808949,0.24215975,0.6305912078227232,1.0,1.0759791,0.18862599,0.2819365929762153,1.0,1.556874,0.35923186,0.42581376,0.7194216435713074,1.0,0.7286572,0.38574806,0.46621139699822445,1.0,1.0878891,0.2819365929762153
S1pr4,,,,,,,,,,0.51443845,0.086468615,0.6069454847321167,1.0,1.06492,0.120059244,0.28691213250733416,1.0,1.5793583,0.28691213250733416
Ifngr2,0.39447883,0.70530164,0.6932275464150648,1.0,1.0409614,0.6123186,0.297893449568736,1.0,1.4354402,0.9908812,1.7768276,0.32174358523280944,1.0,1.0003687,1.1845598,0.31713207998320114,1.0,1.9912499,0.297893449568736
Stom,,,,,,,,,,0.22521074,0.15533407,0.8218153319186265,1.0,1.0405378,0.7378564,0.29809007588934877,1.0,1.2657486,0.29809007588934877
Siah1a,0.25313792,0.24311917,0.8001616438736805,1.0,0.86040473,0.352062,0.3895659797128125,1.0,1.1135427,0.4006817,0.5113553,0.6886544922964533,1.0,1.0356264,0.69578767,0.3003764845878373,1.0,1.4363081,0.3003764845878373
Ninj1,0.14624254,0.044580266,0.8837299256231612,1.0,0.956309,0.5897717,0.33891612134639193,1.0,1.1025516,0.563948,1.1229572,0.5727895446383675,1.0,0.7544426,0.9002114,0.4505835091826441,1.0,1.3183906,0.33891612134639193
Tmem43,,,,,,,,,,0.2275135,1.1610273,0.8200244636716532,1.0,0.9387995,1.5061355,0.34783368820712113,1.0,1.166313,0.34783368820712113
Zbtb46,,,,,,,,,,0.32515088,1.0218209,0.7450668752772931,1.0,0.93248475,1.3905389,0.3510860799230209,1.0,1.2576356,0.3510860799230209
